candidate_id,candidate_version,target_response_class,search_campaign_id,parent_or_anchor_id,search_generation_method,active_parameter_schema,active_parameter_count,canonical_parameter_json,parameter_sha256,source_commit,analysis_commit,registry_commit,qualified_domain_sha256,Tref_K,cleave_G00_eV,cleave_gT_eV_per_K,cleave_sigc0_GPa,cleave_sT_GPa_per_K,cleave_exp_a,cleave_exp_n,cleave_floor_frac,emit_G00_eV,emit_gT_eV_per_K,emit_sigc0_GPa,emit_sT_GPa_per_K,emit_exp_a,emit_exp_n,emit_floor_frac,peierls_H0_eV,peierls_activation_entropy_kB,peierls_exp_a,peierls_exp_n,peierls_nu0_s,taylor_H0_eV,taylor_activation_entropy_kB,taylor_exp_a,taylor_exp_n,taylor_nu0_s,rho_source0_m2,taylor_corr_rho_c_m2,taylor_corr_scale,c_blunt
oneD_v2_dbtt_R_0bf0f25f74411000,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":6.201127133645389,""cleave_G00_eV"":1.8621480419540128,""cleave_exp_a"":0.3462453651877594,""cleave_exp_n"":2.7531721751359957,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.005281807336448797,""cleave_sT_GPa_per_K"":-0.0004950757857476296,""cleave_sigc0_GPa"":4.390268889202817,""emit_G00_eV"":2.9140133948444773,""emit_exp_a"":0.12430063920082574,""emit_exp_n"":0.3334149406967361,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.007623052695724512,""emit_sT_GPa_per_K"":-0.0036939319084976115,""emit_sigc0_GPa"":3.516792744870347,""peierls_H0_eV"":4.340021673774366,""peierls_activation_entropy_kB"":-32.40046945160495,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":606626781409095.5,""taylor_H0_eV"":0.9061418147580934,""taylor_activation_entropy_kB"":19.615113711406504,""taylor_corr_rho_c_m2"":21447152154655.26,""taylor_corr_scale"":1.2635590097025609,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",0bf0f25f7441100018490d54263aff449e5df602b49536ed8a446393d0a4baa5,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,1.8621480419540128,0.005281807336448797,4.390268889202817,-0.0004950757857476296,0.3462453651877594,2.7531721751359957,0.026239358201278,2.9140133948444773,0.007623052695724512,3.516792744870347,-0.0036939319084976115,0.12430063920082574,0.3334149406967361,0.0103682254353579,4.340021673774366,-32.40046945160495,1.448395521938801,1.871259921230376,1000000000000.0,0.9061418147580934,19.615113711406504,0.7048910272121429,0.5389550719410181,100000000000.0,606626781409095.5,21447152154655.26,1.2635590097025609,6.201127133645389
oneD_v2_dbtt_R_10e35972a9427ce6,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":6.386306936333022,""cleave_G00_eV"":1.5857133262971137,""cleave_exp_a"":0.4156076082254036,""cleave_exp_n"":2.5574675519899808,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.00506425738055791,""cleave_sT_GPa_per_K"":-0.0013357088484122512,""cleave_sigc0_GPa"":4.840337768214466,""emit_G00_eV"":1.8471061348692763,""emit_exp_a"":0.1811558461033068,""emit_exp_n"":0.6683579924185394,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.0049107911668025105,""emit_sT_GPa_per_K"":-0.007214613861802034,""emit_sigc0_GPa"":4.621860305882224,""peierls_H0_eV"":2.6752628620020436,""peierls_activation_entropy_kB"":-25.75849475214478,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":1610922866464420.0,""taylor_H0_eV"":2.2282980338174263,""taylor_activation_entropy_kB"":36.79209209411616,""taylor_corr_rho_c_m2"":9369842593473.053,""taylor_corr_scale"":0.9050043114458074,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",10e35972a9427ce65c6e25b712a4806b18b679b46379847023d435b325bf8d18,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,1.5857133262971137,0.00506425738055791,4.840337768214466,-0.0013357088484122512,0.4156076082254036,2.5574675519899808,0.026239358201278,1.8471061348692763,0.0049107911668025105,4.621860305882224,-0.007214613861802034,0.1811558461033068,0.6683579924185394,0.0103682254353579,2.6752628620020436,-25.75849475214478,1.448395521938801,1.871259921230376,1000000000000.0,2.2282980338174263,36.79209209411616,0.7048910272121429,0.5389550719410181,100000000000.0,1610922866464420.0,9369842593473.053,0.9050043114458074,6.386306936333022
oneD_v2_dbtt_R_2ce78bb843dcce8c,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":2.6550489755116335,""cleave_G00_eV"":3.736484156825983,""cleave_exp_a"":0.6687991069154825,""cleave_exp_n"":3.912747614195071,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.008798261908055785,""cleave_sT_GPa_per_K"":-0.0008117062997689153,""cleave_sigc0_GPa"":9.107787189317847,""emit_G00_eV"":4.672743310495533,""emit_exp_a"":0.11574883452200503,""emit_exp_n"":0.3919902383836684,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.007913824458770157,""emit_sT_GPa_per_K"":-0.002571057223533138,""emit_sigc0_GPa"":2.344163988304978,""peierls_H0_eV"":4.426481183470895,""peierls_activation_entropy_kB"":-51.17595077425441,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":387856240477690.2,""taylor_H0_eV"":0.9133841711496007,""taylor_activation_entropy_kB"":21.15747514176448,""taylor_corr_rho_c_m2"":37634392894718.08,""taylor_corr_scale"":2.4879646719773376,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",2ce78bb843dcce8ce355d78e35ac2215fb99b56437e0e9f08e498d57f00228dd,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,3.736484156825983,0.008798261908055785,9.107787189317847,-0.0008117062997689153,0.6687991069154825,3.912747614195071,0.026239358201278,4.672743310495533,0.007913824458770157,2.344163988304978,-0.002571057223533138,0.11574883452200503,0.3919902383836684,0.0103682254353579,4.426481183470895,-51.17595077425441,1.448395521938801,1.871259921230376,1000000000000.0,0.9133841711496007,21.15747514176448,0.7048910272121429,0.5389550719410181,100000000000.0,387856240477690.2,37634392894718.08,2.4879646719773376,2.6550489755116335
oneD_v2_dbtt_R_3e168d9381eafa7b,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":4.192391373105451,""cleave_G00_eV"":2.7263226339970634,""cleave_exp_a"":0.3655237378458536,""cleave_exp_n"":2.922516362466403,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.008931572897448769,""cleave_sT_GPa_per_K"":-0.0008912949616189118,""cleave_sigc0_GPa"":8.431917241681298,""emit_G00_eV"":2.6193617539157366,""emit_exp_a"":0.1102059522512416,""emit_exp_n"":0.46138081263420294,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.004031207282605458,""emit_sT_GPa_per_K"":-0.007959885828091698,""emit_sigc0_GPa"":1.4467638680364308,""peierls_H0_eV"":4.286924079210238,""peierls_activation_entropy_kB"":-56.187329169711994,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":1638799274225960.0,""taylor_H0_eV"":2.015847710740593,""taylor_activation_entropy_kB"":23.270689490176842,""taylor_corr_rho_c_m2"":8499168604938.201,""taylor_corr_scale"":1.0957499917164737,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",3e168d9381eafa7b2c41022459483033f17ec54892536368fc6a8feb98f57e84,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,2.7263226339970634,0.008931572897448769,8.431917241681298,-0.0008912949616189118,0.3655237378458536,2.922516362466403,0.026239358201278,2.6193617539157366,0.004031207282605458,1.4467638680364308,-0.007959885828091698,0.1102059522512416,0.46138081263420294,0.0103682254353579,4.286924079210238,-56.187329169711994,1.448395521938801,1.871259921230376,1000000000000.0,2.015847710740593,23.270689490176842,0.7048910272121429,0.5389550719410181,100000000000.0,1638799274225960.0,8499168604938.201,1.0957499917164737,4.192391373105451
oneD_v2_dbtt_R_41a3f2096b3c4c54,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":2.774974377285394,""cleave_G00_eV"":4.007504452156887,""cleave_exp_a"":0.6043367277176193,""cleave_exp_n"":1.9095946646132131,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.006942799286286851,""cleave_sT_GPa_per_K"":-0.0016160295711114252,""cleave_sigc0_GPa"":8.360241935601817,""emit_G00_eV"":1.8166606059784953,""emit_exp_a"":0.11448767396823127,""emit_exp_n"":0.40270261362646065,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.004204833256592207,""emit_sT_GPa_per_K"":-0.0032880370993267818,""emit_sigc0_GPa"":1.6053189556219989,""peierls_H0_eV"":2.3879454445046577,""peierls_activation_entropy_kB"":-32.81218505381737,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":833669371892378.8,""taylor_H0_eV"":1.457630727567303,""taylor_activation_entropy_kB"":20.263495782908194,""taylor_corr_rho_c_m2"":11312418841670.295,""taylor_corr_scale"":0.8664327725571279,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",41a3f2096b3c4c542d57f9e11a9e93839ec2b2fb01474fae92a5dc82c749846a,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,4.007504452156887,0.006942799286286851,8.360241935601817,-0.0016160295711114252,0.6043367277176193,1.9095946646132131,0.026239358201278,1.8166606059784953,0.004204833256592207,1.6053189556219989,-0.0032880370993267818,0.11448767396823127,0.40270261362646065,0.0103682254353579,2.3879454445046577,-32.81218505381737,1.448395521938801,1.871259921230376,1000000000000.0,1.457630727567303,20.263495782908194,0.7048910272121429,0.5389550719410181,100000000000.0,833669371892378.8,11312418841670.295,0.8664327725571279,2.774974377285394
oneD_v2_dbtt_R_43d826d529194456,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":2.179012988123429,""cleave_G00_eV"":2.0962107234031446,""cleave_exp_a"":0.36871774193655893,""cleave_exp_n"":3.1554225395635447,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.0043467132608723145,""cleave_sT_GPa_per_K"":-0.0018616675928527073,""cleave_sigc0_GPa"":4.945688317203719,""emit_G00_eV"":6.0497561160963285,""emit_exp_a"":0.11824566549178353,""emit_exp_n"":0.3527154620584654,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.0037964425100930938,""emit_sT_GPa_per_K"":-0.0033740475855750926,""emit_sigc0_GPa"":4.276443882273792,""peierls_H0_eV"":2.4325394255829367,""peierls_activation_entropy_kB"":-17.047228378026855,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":785864027105920.9,""taylor_H0_eV"":0.9973765760800004,""taylor_activation_entropy_kB"":26.51321574933997,""taylor_corr_rho_c_m2"":54518825035218.77,""taylor_corr_scale"":2.5812979351887053,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",43d826d529194456ab1e475a10f1dd3d159398d908651933a74c7f1f630f6cfa,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,2.0962107234031446,0.0043467132608723145,4.945688317203719,-0.0018616675928527073,0.36871774193655893,3.1554225395635447,0.026239358201278,6.0497561160963285,0.0037964425100930938,4.276443882273792,-0.0033740475855750926,0.11824566549178353,0.3527154620584654,0.0103682254353579,2.4325394255829367,-17.047228378026855,1.448395521938801,1.871259921230376,1000000000000.0,0.9973765760800004,26.51321574933997,0.7048910272121429,0.5389550719410181,100000000000.0,785864027105920.9,54518825035218.77,2.5812979351887053,2.179012988123429
oneD_v2_dbtt_R_4cb1972f419ed341,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":1.3684060799416522,""cleave_G00_eV"":3.17549504290249,""cleave_exp_a"":0.5972395448834148,""cleave_exp_n"":2.7595992821538404,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.005606620973574181,""cleave_sT_GPa_per_K"":-0.0008712512486356433,""cleave_sigc0_GPa"":4.13083068688598,""emit_G00_eV"":3.2759524840095264,""emit_exp_a"":0.2118210241144986,""emit_exp_n"":0.7819502235057875,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.0039958406829684505,""emit_sT_GPa_per_K"":-0.006333713777797387,""emit_sigc0_GPa"":2.1324544973382165,""peierls_H0_eV"":5.370608054355001,""peierls_activation_entropy_kB"":-54.87668990685022,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":737330035245909.9,""taylor_H0_eV"":2.2275065600349606,""taylor_activation_entropy_kB"":16.713830761154817,""taylor_corr_rho_c_m2"":8300524421008.366,""taylor_corr_scale"":2.4190764073519455,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",4cb1972f419ed341819da4368f375386cf3cdd9296a6041d84ec377940cc1263,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,3.17549504290249,0.005606620973574181,4.13083068688598,-0.0008712512486356433,0.5972395448834148,2.7595992821538404,0.026239358201278,3.2759524840095264,0.0039958406829684505,2.1324544973382165,-0.006333713777797387,0.2118210241144986,0.7819502235057875,0.0103682254353579,5.370608054355001,-54.87668990685022,1.448395521938801,1.871259921230376,1000000000000.0,2.2275065600349606,16.713830761154817,0.7048910272121429,0.5389550719410181,100000000000.0,737330035245909.9,8300524421008.366,2.4190764073519455,1.3684060799416522
oneD_v2_dbtt_R_5ccfe8189929a0ac,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":1.895138101991991,""cleave_G00_eV"":4.088341932426187,""cleave_exp_a"":0.4275689728060543,""cleave_exp_n"":2.00299226860506,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.004225807837903963,""cleave_sT_GPa_per_K"":-0.0024629967979293596,""cleave_sigc0_GPa"":10.499114504360671,""emit_G00_eV"":5.1285710478689985,""emit_exp_a"":0.14303559756473175,""emit_exp_n"":0.541164232990487,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.0030282263832715115,""emit_sT_GPa_per_K"":-0.00790445084088736,""emit_sigc0_GPa"":5.325327325561108,""peierls_H0_eV"":3.8431147483521118,""peierls_activation_entropy_kB"":-42.501886747463175,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":986933885930805.8,""taylor_H0_eV"":0.9570791325105166,""taylor_activation_entropy_kB"":45.677140964388904,""taylor_corr_rho_c_m2"":16840870099012.033,""taylor_corr_scale"":2.023450484096941,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",5ccfe8189929a0ac6b5484e3bc8afd14943ab9d0241e25c7c3c67020c0222bbf,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,4.088341932426187,0.004225807837903963,10.499114504360671,-0.0024629967979293596,0.4275689728060543,2.00299226860506,0.026239358201278,5.1285710478689985,0.0030282263832715115,5.325327325561108,-0.00790445084088736,0.14303559756473175,0.541164232990487,0.0103682254353579,3.8431147483521118,-42.501886747463175,1.448395521938801,1.871259921230376,1000000000000.0,0.9570791325105166,45.677140964388904,0.7048910272121429,0.5389550719410181,100000000000.0,986933885930805.8,16840870099012.033,2.023450484096941,1.895138101991991
oneD_v2_dbtt_R_7b3b5b45354e64ef,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":4.990658777708567,""cleave_G00_eV"":1.3817038125259684,""cleave_exp_a"":0.4362762779225825,""cleave_exp_n"":3.1712757917197525,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.0032996505162841546,""cleave_sT_GPa_per_K"":-0.0016432020220902386,""cleave_sigc0_GPa"":9.380819894401702,""emit_G00_eV"":1.9326811818678884,""emit_exp_a"":0.17662074502704495,""emit_exp_n"":0.46784416311415317,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.0024749874479581533,""emit_sT_GPa_per_K"":-0.006290109817225442,""emit_sigc0_GPa"":2.0214459107790814,""peierls_H0_eV"":5.52016628271229,""peierls_activation_entropy_kB"":-51.595077361355536,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":1468908346765729.2,""taylor_H0_eV"":1.1974374758931805,""taylor_activation_entropy_kB"":45.405104880374594,""taylor_corr_rho_c_m2"":35838233825771.1,""taylor_corr_scale"":1.2804294181102447,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",7b3b5b45354e64efd68fd402352db131e1fda37744ea66f0eea86e0a251b4490,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,1.3817038125259684,0.0032996505162841546,9.380819894401702,-0.0016432020220902386,0.4362762779225825,3.1712757917197525,0.026239358201278,1.9326811818678884,0.0024749874479581533,2.0214459107790814,-0.006290109817225442,0.17662074502704495,0.46784416311415317,0.0103682254353579,5.52016628271229,-51.595077361355536,1.448395521938801,1.871259921230376,1000000000000.0,1.1974374758931805,45.405104880374594,0.7048910272121429,0.5389550719410181,100000000000.0,1468908346765729.2,35838233825771.1,1.2804294181102447,4.990658777708567
oneD_v2_dbtt_R_7c97a4f496b2504a,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500|v913_zeroD_sobol_0116955,ARCHIVED_MORPH_0.50,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":1.318464392315671,""cleave_G00_eV"":2.871729232779594,""cleave_exp_a"":0.46572521607896683,""cleave_exp_n"":1.6506191757866333,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.0068223188628908,""cleave_sT_GPa_per_K"":-0.0014021965432912,""cleave_sigc0_GPa"":5.876239208518867,""emit_G00_eV"":3.6474789237857674,""emit_exp_a"":0.1464687991033353,""emit_exp_n"":0.9195171257571785,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.00187627599621195,""emit_sT_GPa_per_K"":-0.0015430024843662998,""emit_sigc0_GPa"":4.878239271447207,""peierls_H0_eV"":3.576632811732757,""peierls_activation_entropy_kB"":-20.185705805197358,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":6231585698771533.0,""taylor_H0_eV"":1.6811588111437767,""taylor_activation_entropy_kB"":21.46404519677162,""taylor_corr_rho_c_m2"":4282219954775941.0,""taylor_corr_scale"":0.7937263741000115,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",7c97a4f496b2504acc6d1b4bab18a8ba42e11eddb6eab339e039299df966e918,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,2.871729232779594,0.0068223188628908,5.876239208518867,-0.0014021965432912,0.46572521607896683,1.6506191757866333,0.026239358201278,3.6474789237857674,0.00187627599621195,4.878239271447207,-0.0015430024843662998,0.1464687991033353,0.9195171257571785,0.0103682254353579,3.576632811732757,-20.185705805197358,1.448395521938801,1.871259921230376,1000000000000.0,1.6811588111437767,21.46404519677162,0.7048910272121429,0.5389550719410181,100000000000.0,6231585698771533.0,4282219954775941.0,0.7937263741000115,1.318464392315671
oneD_v2_dbtt_R_9f5160f509e713e2,oneD_v2_fracture_option_bank_v1,DBTT,oneD_v2_peak_dbtt_R_v1,v913_zeroD_sobol_0202500,SOBOL_LOCAL_MATERIAL,V913_ACTIVE_CANDIDATE_29,29,"{""Tref_K"":481.33,""c_blunt"":1.7529365082089903,""cleave_G00_eV"":2.008633966829803,""cleave_exp_a"":0.37281658310123506,""cleave_exp_n"":2.0728245691276466,""cleave_floor_frac"":0.026239358201278,""cleave_gT_eV_per_K"":0.0063754405694973395,""cleave_sT_GPa_per_K"":-0.00046541699849512563,""cleave_sigc0_GPa"":6.871849853835221,""emit_G00_eV"":3.4949424819947663,""emit_exp_a"":0.21882931831669378,""emit_exp_n"":0.5337540849873799,""emit_floor_frac"":0.0103682254353579,""emit_gT_eV_per_K"":0.0035428968016845155,""emit_sT_GPa_per_K"":-0.006247799493564789,""emit_sigc0_GPa"":3.8464952265101164,""peierls_H0_eV"":4.953553982059941,""peierls_activation_entropy_kB"":-37.89774217673219,""peierls_exp_a"":1.448395521938801,""peierls_exp_n"":1.871259921230376,""peierls_nu0_s"":1000000000000.0,""rho_source0_m2"":752297186052096.9,""taylor_H0_eV"":1.5226765814499252,""taylor_activation_entropy_kB"":30.021098451532534,""taylor_corr_rho_c_m2"":39933150707666.805,""taylor_corr_scale"":0.8335919047629173,""taylor_exp_a"":0.7048910272121429,""taylor_exp_n"":0.5389550719410181,""taylor_nu0_s"":100000000000.0}",9f5160f509e713e256ea747e2549d05063d6a269258810b4348dcb4bc7fa9d59,5045feed8c87440676c580fe7f74989be4c4a995,04e21d940c5920f48d0f8dbc722900dfd4f6578b,04e21d940c5920f48d0f8dbc722900dfd4f6578b,119e8906d3c8166ad7b64e741d4cb09fc56f7bf46a98d6164fddc7d65e23270b,481.33,2.008633966829803,0.0063754405694973395,6.871849853835221,-0.00046541699849512563,0.37281658310123506,2.0728245691276466,0.026239358201278,3.4949424819947663,0.0035428968016845155,3.8464952265101164,-0.006247799493564789,0.21882931831669378,0.5337540849873799,0.0103682254353579,4.953553982059941,-37.89774217673219,1.448395521938801,1.871259921230376,1000000000000.0,1.5226765814499252,30.021098451532534,0.7048910272121429,0.5389550719410181,100000000000.0,752297186052096.9,39933150707666.805,0.8335919047629173,1.7529365082089903
