candidate_id,target_class,full_material_sha256,taylor_peierls_subvector_sha256,diagnostic_states_json,log10_peierls_rate_s_median,log10_peierls_rate_s_min,log10_peierls_rate_s_max,log10_peierls_velocity_m_s_median,log10_peierls_velocity_m_s_min,log10_peierls_velocity_m_s_max,log10_encounter_rate_s_median,log10_encounter_rate_s_min,log10_encounter_rate_s_max,log10_taylor_completion_rate_s_median,log10_taylor_completion_rate_s_min,log10_taylor_completion_rate_s_max,log10_chi_ret_median,log10_chi_ret_min,log10_chi_ret_max,log10_chi_taylor_completion_median,log10_chi_taylor_completion_min,log10_chi_taylor_completion_max,retained_equilibrium_fraction_median,retained_equilibrium_fraction_min,retained_equilibrium_fraction_max,kinetic_regime
v913_zeroD_sobol_0242980,Peak,d004ea60768cfb90435d8d10f9badd180e614c0fc23950b24554b5a0b4bbe3a2,3e712899f824be784d5990b30f878bf1a1d0dda7790781f6398e43bad420901a,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":19.073875029257433,""log10_encounter_rate_s"":-6.087222405726431,""log10_peierls_rate_s"":-6.748099561577277,""log10_peierls_velocity_m_s"":-13.911280693360336,""log10_taylor_completion_rate_s"":10.67524123084268,""retained_equilibrium_fraction"":1.727970633461367e-17,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":11.319297755717445,""log10_encounter_rate_s"":2.43577632095828,""log10_peierls_rate_s"":1.7748991651074337,""log10_peierls_velocity_m_s"":-6.70888075418883,""log10_taylor_completion_rate_s"":9.740809734051433,""retained_equilibrium_fraction"":4.954120495126401e-08,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":9.957540522821073,""log10_encounter_rate_s"":3.769556989854579,""log10_peierls_rate_s"":3.1086798340037323,""log10_peierls_velocity_m_s"":-5.359428375253512,""log10_taylor_completion_rate_s"":9.755603743046295,""retained_equilibrium_fraction"":1.0326491648869e-06,""temperature_K"":1200.0}]",1.7748991651074337,-6.748099561577277,3.1086798340037323,-6.70888075418883,-13.911280693360336,-5.359428375253512,2.43577632095828,-6.087222405726431,3.769556989854579,9.755603743046295,9.740809734051433,10.67524123084268,3.9713223614135056,2.3113921536828372,4.013974221964842,11.319297755717445,9.957540522821073,19.073875029257433,4.954120495126401e-08,1.727970633461367e-17,1.0326491648869e-06,TRANSPORT_DOMINATED
oneD_v2_peak_TP_000743646ec3528e,Peak,000743646ec3528e35d233cf491e6782ef68dc9c07be29e223967c26a979a342,8322182e9b863ebe157b3f64fda45f784d2e468b29edcd77d1dc538068718af3,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":40.005563239299285,""log10_encounter_rate_s"":-27.529060074704237,""log10_peierls_rate_s"":-28.189937230555085,""log10_peierls_velocity_m_s"":-35.353118362338144,""log10_taylor_completion_rate_s"":10.1650785106036,""retained_equilibrium_fraction"":2.0223680456674937e-38,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":28.54252478736398,""log10_encounter_rate_s"":-14.83122359484829,""log10_peierls_rate_s"":-15.492100750699137,""log10_peierls_velocity_m_s"":-23.9758806699954,""log10_taylor_completion_rate_s"":9.696560467121454,""retained_equilibrium_fraction"":2.9660937101056894e-25,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":26.869990096139368,""log10_encounter_rate_s"":-13.045892939959694,""log10_peierls_rate_s"":-13.706770095810542,""log10_peierls_velocity_m_s"":-22.174878305067786,""log10_taylor_completion_rate_s"":9.85224551713954,""retained_equilibrium_fraction"":1.2642758790990245e-23,""temperature_K"":1200.0}]",-15.492100750699137,-28.189937230555085,-13.706770095810542,-23.9758806699954,-35.353118362338144,-22.174878305067786,-14.83122359484829,-27.529060074704237,-13.045892939959694,9.85224551713954,9.696560467121454,10.1650785106036,3.9713223614135056,2.3113921536828372,4.013974221964842,28.54252478736398,26.869990096139368,40.005563239299285,2.9660937101056894e-25,2.0223680456674937e-38,1.2642758790990245e-23,TRANSPORT_DOMINATED
oneD_v2_peak_TP_0022341848e70655,Peak,0022341848e70655aa5af5fdef120328773e31b7c610003427c651b42c5e86ea,84c8f3719476359ccab57df75ea164d4c81662981e534348be014a3c070df0d4,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":27.11263604847647,""log10_encounter_rate_s"":-13.867298095634862,""log10_peierls_rate_s"":-14.52817525148571,""log10_peierls_velocity_m_s"":-21.69135638326877,""log10_taylor_completion_rate_s"":10.93394309850895,""retained_equilibrium_fraction"":1.5803701040632053e-25,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964843,""log10_chi_taylor_completion"":19.072879768944844,""log10_encounter_rate_s"":-4.224360315193395,""log10_peierls_rate_s"":-4.885237471044242,""log10_peierls_velocity_m_s"":-13.369017390340506,""log10_taylor_completion_rate_s"":10.834488474073451,""retained_equilibrium_fraction"":8.732740258499838e-16,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":16.983422720745917,""log10_encounter_rate_s"":-2.1641263082325883,""log10_peierls_rate_s"":-2.825003464083435,""log10_peierls_velocity_m_s"":-11.293111673340679,""log10_taylor_completion_rate_s"":10.847943503849299,""retained_equilibrium_fraction"":9.7258999597474e-14,""temperature_K"":1200.0}]",-4.885237471044242,-14.52817525148571,-2.825003464083435,-13.369017390340506,-21.69135638326877,-11.293111673340679,-4.224360315193395,-13.867298095634862,-2.1641263082325883,10.847943503849299,10.834488474073451,10.93394309850895,3.9713223614135056,2.3113921536828372,4.013974221964843,19.072879768944844,16.983422720745917,27.11263604847647,8.732740258499838e-16,1.5803701040632053e-25,9.7258999597474e-14,TRANSPORT_DOMINATED
oneD_v2_peak_TP_0026ffa8403bae35,Peak,0026ffa8403bae35dd609032ce361449165aa5a4a770ebd42ab4e97c8c620544,c91e556e719b9b1e3d398a67eab71f9719b852f5665a510b4a36ef4d958c88e2,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":72.88157568273378,""log10_encounter_rate_s"":-59.65155377237229,""log10_peierls_rate_s"":-60.31243092822314,""log10_peierls_velocity_m_s"":-67.4756120600062,""log10_taylor_completion_rate_s"":10.918622785613824,""retained_equilibrium_fraction"":2.6904407952614366e-71,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":47.09528552693726,""log10_encounter_rate_s"":-32.78387373407745,""log10_peierls_rate_s"":-33.4447508899283,""log10_peierls_velocity_m_s"":-41.92853080922457,""log10_taylor_completion_rate_s"":10.297295900505574,""retained_equilibrium_fraction"":8.29526692708383e-44,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":40.90215386845464,""log10_encounter_rate_s"":-26.620937787069472,""log10_peierls_rate_s"":-27.28181494292032,""log10_peierls_velocity_m_s"":-35.749923152177566,""log10_taylor_completion_rate_s"":10.30981482551272,""retained_equilibrium_fraction"":1.1728632740870942e-37,""temperature_K"":1200.0}]",-33.4447508899283,-60.31243092822314,-27.28181494292032,-41.92853080922457,-67.4756120600062,-35.749923152177566,-32.78387373407745,-59.65155377237229,-26.620937787069472,10.30981482551272,10.297295900505574,10.918622785613824,3.9713223614135056,2.3113921536828372,4.013974221964842,47.09528552693726,40.90215386845464,72.88157568273378,8.29526692708383e-44,2.6904407952614366e-71,1.1728632740870942e-37,TRANSPORT_DOMINATED
oneD_v2_peak_TP_002d540973117c62,Peak,002d540973117c620aa971f031a070389fc7404f3a4bcf15169ae5657502d921,767047af34a03da7f580ca9f635bfe72bdd1bfd70834537eb83aa0ba8059c2b3,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":33.93245506251041,""log10_encounter_rate_s"":-21.466765604100935,""log10_peierls_rate_s"":-22.127642759951783,""log10_peierls_velocity_m_s"":-29.290823891734842,""log10_taylor_completion_rate_s"":10.154295677638903,""retained_equilibrium_fraction"":2.3929765455588004e-32,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":18.55738644911875,""log10_encounter_rate_s"":-5.483751608011294,""log10_peierls_rate_s"":-6.144628763862141,""log10_peierls_velocity_m_s"":-14.628408683158403,""log10_taylor_completion_rate_s"":9.059640893086986,""retained_equilibrium_fraction"":2.861551535258521e-15,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":14.903675456439611,""log10_encounter_rate_s"":-1.7247846007016312,""log10_peierls_rate_s"":-2.385661756552478,""log10_peierls_velocity_m_s"":-10.853769965809722,""log10_taylor_completion_rate_s"":9.207559407986514,""retained_equilibrium_fraction"":1.1685651948261085e-11,""temperature_K"":1200.0}]",-6.144628763862141,-22.127642759951783,-2.385661756552478,-14.628408683158403,-29.290823891734842,-10.853769965809722,-5.483751608011294,-21.466765604100935,-1.7247846007016312,9.207559407986514,9.059640893086986,10.154295677638903,3.9713223614135056,2.3113921536828372,4.013974221964842,18.55738644911875,14.903675456439611,33.93245506251041,2.861551535258521e-15,2.3929765455588004e-32,1.1685651948261085e-11,TRANSPORT_DOMINATED
oneD_v2_peak_TP_002f11037907834d,Peak,002f11037907834d59dc30b6e1df2657f01daedce5a3a5e76b0054cfbda43c87,a81338b70a26c541bcf347d076e8bcad39a181cf029ae3f948b7d60d5953f8f0,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":22.872830416757857,""log10_encounter_rate_s"":-9.730523136086124,""log10_peierls_rate_s"":-10.39140029193697,""log10_peierls_velocity_m_s"":-17.55458142372003,""log10_taylor_completion_rate_s"":10.830908058939926,""retained_equilibrium_fraction"":2.7451668984997054e-21,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":18.05215343289096,""log10_encounter_rate_s"":-3.9102837139239277,""log10_peierls_rate_s"":-4.571160869774774,""log10_peierls_velocity_m_s"":-13.054940789071038,""log10_taylor_completion_rate_s"":10.127698147931484,""retained_equilibrium_fraction"":9.162587565229124e-15,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":17.26736334191524,""log10_encounter_rate_s"":-3.154666017322042,""log10_peierls_rate_s"":-3.8155431731728893,""log10_peierls_velocity_m_s"":-12.283651382430135,""log10_taylor_completion_rate_s"":10.141233837033132,""retained_equilibrium_fraction"":5.0594131551816246e-14,""temperature_K"":1200.0}]",-4.571160869774774,-10.39140029193697,-3.8155431731728893,-13.054940789071038,-17.55458142372003,-12.283651382430135,-3.9102837139239277,-9.730523136086124,-3.154666017322042,10.141233837033132,10.127698147931484,10.830908058939926,3.9713223614135056,2.3113921536828372,4.013974221964842,18.05215343289096,17.26736334191524,22.872830416757857,9.162587565229124e-15,2.7451668984997054e-21,5.0594131551816246e-14,TRANSPORT_DOMINATED
oneD_v2_peak_TP_0052e43910b0cb68,Peak,0052e43910b0cb6898e787b88bd0b8bfc28a9c2215e48b67348463e3c7846680,04fd2793ed0fdf079df409e0d845c91b8280a3634c5e4904183ed28717459823,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":42.62734496853004,""log10_encounter_rate_s"":-29.733090487969488,""log10_peierls_rate_s"":-30.393967643820332,""log10_peierls_velocity_m_s"":-37.557148775603395,""log10_taylor_completion_rate_s"":10.582843347773943,""retained_equilibrium_fraction"":4.831314888786134e-41,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964843,""log10_chi_taylor_completion"":24.900106152212366,""log10_encounter_rate_s"":-10.701526504554673,""log10_peierls_rate_s"":-11.362403660405521,""log10_peierls_velocity_m_s"":-19.846183579701783,""log10_taylor_completion_rate_s"":10.184327698064028,""retained_equilibrium_fraction"":1.3005333222053593e-21,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":21.005857609418015,""log10_encounter_rate_s"":-6.7446867654283675,""log10_peierls_rate_s"":-7.405563921279215,""log10_peierls_velocity_m_s"":-15.873672130536459,""log10_taylor_completion_rate_s"":10.289698149499314,""retained_equilibrium_fraction"":9.238493243940879e-18,""temperature_K"":1200.0}]",-11.362403660405521,-30.393967643820332,-7.405563921279215,-19.846183579701783,-37.557148775603395,-15.873672130536459,-10.701526504554673,-29.733090487969488,-6.7446867654283675,10.289698149499314,10.184327698064028,10.582843347773943,3.9713223614135056,2.3113921536828372,4.013974221964843,24.900106152212366,21.005857609418015,42.62734496853004,1.3005333222053593e-21,4.831314888786134e-41,9.238493243940879e-18,TRANSPORT_DOMINATED
oneD_v2_peak_TP_0059fabcac10aed6,Peak,0059fabcac10aed6333a36182f509f43a1cc15aaf551dd1b496970cce9b2f06a,95999a22919da9fe34399a9d0aad56098892763200ba4b557c8a579ace71faef,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":9.374849807965516,""log10_encounter_rate_s"":3.49041568142136,""log10_peierls_rate_s"":2.829538525570513,""log10_peierls_velocity_m_s"":-4.333642606212546,""log10_taylor_completion_rate_s"":10.55386966292909,""retained_equilibrium_fraction"":8.640641386574297e-08,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964843,""log10_chi_taylor_completion"":5.778748483393494,""log10_encounter_rate_s"":7.757608537219652,""log10_peierls_rate_s"":7.096731381368805,""log10_peierls_velocity_m_s"":-1.3870485379274584,""log10_taylor_completion_rate_s"":9.522329096267981,""retained_equilibrium_fraction"":0.0168995934391339,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":5.033237343310138,""log10_encounter_rate_s"":8.487796237847839,""log10_peierls_rate_s"":7.826919081996992,""log10_peierls_velocity_m_s"":-0.6411891272602531,""log10_taylor_completion_rate_s"":9.549681988556548,""retained_equilibrium_fraction"":0.07979850440333436,""temperature_K"":1200.0}]",7.096731381368805,2.829538525570513,7.826919081996992,-1.3870485379274584,-4.333642606212546,-0.6411891272602531,7.757608537219652,3.49041568142136,8.487796237847839,9.549681988556548,9.522329096267981,10.55386966292909,3.9713223614135056,2.3113921536828372,4.013974221964843,5.778748483393494,5.033237343310138,9.374849807965516,0.0168995934391339,8.640641386574297e-08,0.07979850440333436,TRANSPORT_DOMINATED
oneD_v2_peak_TP_007c64bdbbbcafda,Peak,007c64bdbbbcafda17a32fcf51c1ec0e2cc3ab0adfe7d53ffa9f05c018f2e83a,05488a497436a83f4b6f4b9559ab984032fb44fd9642ae456a9238bbb8fe44c6,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":32.662139910826724,""log10_encounter_rate_s"":-19.452408788472123,""log10_peierls_rate_s"":-20.113285944322968,""log10_peierls_velocity_m_s"":-27.27646707610603,""log10_taylor_completion_rate_s"":10.898330601304062,""retained_equilibrium_fraction"":4.4592369077385904e-31,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":22.88951826568974,""log10_encounter_rate_s"":-8.356008473798346,""log10_peierls_rate_s"":-9.016885629649193,""log10_peierls_velocity_m_s"":-17.500665548945456,""log10_taylor_completion_rate_s"":10.51935286845111,""retained_equilibrium_fraction"":1.332412375401734e-19,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":20.733228072953718,""log10_encounter_rate_s"":-6.23200956334559,""log10_peierls_rate_s"":-6.8928867191964365,""log10_peierls_velocity_m_s"":-15.360994928453682,""log10_taylor_completion_rate_s"":10.529780082144011,""retained_equilibrium_fraction"":1.7306544145571202e-17,""temperature_K"":1200.0}]",-9.016885629649193,-20.113285944322968,-6.8928867191964365,-17.500665548945456,-27.27646707610603,-15.360994928453682,-8.356008473798346,-19.452408788472123,-6.23200956334559,10.529780082144011,10.51935286845111,10.898330601304062,3.9713223614135056,2.3113921536828372,4.013974221964842,22.88951826568974,20.733228072953718,32.662139910826724,1.332412375401734e-19,4.4592369077385904e-31,1.7306544145571202e-17,TRANSPORT_DOMINATED
oneD_v2_peak_TP_00975db36388f290,Peak,00975db36388f290bf30ec977815a4dddd0d6cb33088287b780a194f29f83dd6,46ecc7870451ef115ffe2837add58a69288d3e95d2986cfc5cde7d586c67edbd,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":19.919408289286775,""log10_encounter_rate_s"":-6.80535521982328,""log10_peierls_rate_s"":-7.466232375674126,""log10_peierls_velocity_m_s"":-14.629413507457185,""log10_taylor_completion_rate_s"":10.802648634170348,""retained_equilibrium_fraction"":2.4660159627881227e-18,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964843,""log10_chi_taylor_completion"":18.096603277043986,""log10_encounter_rate_s"":-3.3902770540494225,""log10_peierls_rate_s"":-4.051154209900269,""log10_peierls_velocity_m_s"":-12.534934129196532,""log10_taylor_completion_rate_s"":10.691921480792475,""retained_equilibrium_fraction"":8.275430028484948e-15,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":18.345568108290905,""log10_encounter_rate_s"":-3.6010439195094444,""log10_peierls_rate_s"":-4.261921075360291,""log10_peierls_velocity_m_s"":-12.730029284617537,""log10_taylor_completion_rate_s"":10.772876203145092,""retained_equilibrium_fraction"":4.227411830034112e-15,""temperature_K"":1200.0}]",-4.261921075360291,-7.466232375674126,-4.051154209900269,-12.730029284617537,-14.629413507457185,-12.534934129196532,-3.6010439195094444,-6.80535521982328,-3.3902770540494225,10.772876203145092,10.691921480792475,10.802648634170348,3.9713223614135056,2.3113921536828372,4.013974221964843,18.345568108290905,18.096603277043986,19.919408289286775,4.227411830034112e-15,2.4660159627881227e-18,8.275430028484948e-15,TRANSPORT_DOMINATED
oneD_v2_peak_TP_00db3f631077685d,Peak,00db3f631077685dfaa5d1ab660dafa8551b3d8a055dba7ad4b4a1953d14e027,68dc652b9e326054cd177808dcea4c3b294d72ac7e0ff9ba020f81c4b85ce4bb,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":29.331854994649703,""log10_encounter_rate_s"":-16.0793840351104,""log10_peierls_rate_s"":-16.740261190961245,""log10_peierls_velocity_m_s"":-23.903442322744304,""log10_taylor_completion_rate_s"":10.941075379197887,""retained_equilibrium_fraction"":9.539828897781464e-28,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964843,""log10_chi_taylor_completion"":17.49633688956227,""log10_encounter_rate_s"":-2.8860231419920437,""log10_peierls_rate_s"":-3.5469002978428903,""log10_peierls_velocity_m_s"":-12.030680217139155,""log10_taylor_completion_rate_s"":10.596288304162124,""retained_equilibrium_fraction"":3.293733426818789e-14,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":14.492350067498823,""log10_encounter_rate_s"":0.09083639288197734,""log10_peierls_rate_s"":-0.5700407629688694,""log10_peierls_velocity_m_s"":-9.038148972226114,""log10_taylor_completion_rate_s"":10.611838718326949,""retained_equilibrium_fraction"":3.012989705271242e-11,""temperature_K"":1200.0}]",-3.5469002978428903,-16.740261190961245,-0.5700407629688694,-12.030680217139155,-23.903442322744304,-9.038148972226114,-2.8860231419920437,-16.0793840351104,0.09083639288197734,10.611838718326949,10.596288304162124,10.941075379197887,3.9713223614135056,2.3113921536828372,4.013974221964843,17.49633688956227,14.492350067498823,29.331854994649703,3.293733426818789e-14,9.539828897781464e-28,3.012989705271242e-11,TRANSPORT_DOMINATED
oneD_v2_peak_TP_00dd571ef168b60e,Peak,00dd571ef168b60e712ccc16bfcd9139a6c77142a30af3c7289348dae5637c62,5d0b16f9acb40979783467cb98de4a02b19752f4b7ca623f92b9ca1839bf722c,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":17.677442036561693,""log10_encounter_rate_s"":-4.439464151527731,""log10_peierls_rate_s"":-5.100341307378578,""log10_peierls_velocity_m_s"":-12.263522439161637,""log10_taylor_completion_rate_s"":10.926582751117865,""retained_equilibrium_fraction"":4.3048011727649335e-16,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964843,""log10_chi_taylor_completion"":14.025157817540506,""log10_encounter_rate_s"":0.5582360880095572,""log10_peierls_rate_s"":-0.10264106784128949,""log10_peierls_velocity_m_s"":-8.586420987137553,""log10_taylor_completion_rate_s"":10.569342918376956,""retained_equilibrium_fraction"":9.747497854745718e-11,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":13.169645746169586,""log10_encounter_rate_s"":1.3823529755821833,""log10_peierls_rate_s"":0.7214758197313367,""log10_peierls_velocity_m_s"":-7.746632389525908,""log10_taylor_completion_rate_s"":10.58062667636676,""retained_equilibrium_fraction"":6.334703271257191e-10,""temperature_K"":1200.0}]",-0.10264106784128949,-5.100341307378578,0.7214758197313367,-8.586420987137553,-12.263522439161637,-7.746632389525908,0.5582360880095572,-4.439464151527731,1.3823529755821833,10.58062667636676,10.569342918376956,10.926582751117865,3.9713223614135056,2.3113921536828372,4.013974221964843,14.025157817540506,13.169645746169586,17.677442036561693,9.747497854745718e-11,4.3048011727649335e-16,6.334703271257191e-10,TRANSPORT_DOMINATED
oneD_v2_peak_TP_00e7dec0e03242a1,Peak,00e7dec0e03242a1ed822f1da7d56e5aa9de02dbc842cff919d13b5e11d4da1b,5d789246aeac7b525966fa6659c78d8f96d241ff6c5e1befc452bbe361c88140,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":41.8395173196058,""log10_encounter_rate_s"":-29.181762362044505,""log10_peierls_rate_s"":-29.842639517895353,""log10_peierls_velocity_m_s"":-37.00582064967841,""log10_taylor_completion_rate_s"":10.346346640782501,""retained_equilibrium_fraction"":2.964084639058919e-40,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964843,""log10_chi_taylor_completion"":27.44694127389651,""log10_encounter_rate_s"":-13.917058680523672,""log10_peierls_rate_s"":-14.577935836374518,""log10_peierls_velocity_m_s"":-23.061715755670782,""log10_taylor_completion_rate_s"":9.515565307545081,""retained_equilibrium_fraction"":3.6929719751290934e-24,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":24.478959574222763,""log10_encounter_rate_s"":-10.976719184002084,""log10_peierls_rate_s"":-11.63759633985293,""log10_peierls_velocity_m_s"":-20.105704549110175,""log10_taylor_completion_rate_s"":9.530714284822167,""retained_equilibrium_fraction"":3.108612086031527e-21,""temperature_K"":1200.0}]",-14.577935836374518,-29.842639517895353,-11.63759633985293,-23.061715755670782,-37.00582064967841,-20.105704549110175,-13.917058680523672,-29.181762362044505,-10.976719184002084,9.530714284822167,9.515565307545081,10.346346640782501,3.9713223614135056,2.3113921536828372,4.013974221964843,27.44694127389651,24.478959574222763,41.8395173196058,3.6929719751290934e-24,2.964084639058919e-40,3.108612086031527e-21,TRANSPORT_DOMINATED
oneD_v2_peak_TP_00ece4d505cff448,Peak,00ece4d505cff448175e99fa8b8d15ac543012022fc7826223cf23093b5af7cd,9af571205bf9bbbdb2bcebfb4473b6b28f605023e7264a752f9e937f84b8ada4,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":47.02673343308819,""log10_encounter_rate_s"":-33.97441719450347,""log10_peierls_rate_s"":-34.635294350354314,""log10_peierls_velocity_m_s"":-41.79847548213737,""log10_taylor_completion_rate_s"":10.740905319789594,""retained_equilibrium_fraction"":1.9260940303346514e-45,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":27.959461113102844,""log10_encounter_rate_s"":-14.100265825153764,""log10_peierls_rate_s"":-14.76114298100461,""log10_peierls_velocity_m_s"":-23.244922900300875,""log10_taylor_completion_rate_s"":9.844907629445558,""retained_equilibrium_fraction"":1.134556372024573e-24,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":23.79346931728884,""log10_encounter_rate_s"":-9.950672873089543,""log10_peierls_rate_s"":-10.611550028940389,""log10_peierls_velocity_m_s"":-19.079658238197634,""log10_taylor_completion_rate_s"":9.871300266410318,""retained_equilibrium_fraction"":1.5067002505869033e-20,""temperature_K"":1200.0}]",-14.76114298100461,-34.635294350354314,-10.611550028940389,-23.244922900300875,-41.79847548213737,-19.079658238197634,-14.100265825153764,-33.97441719450347,-9.950672873089543,9.871300266410318,9.844907629445558,10.740905319789594,3.9713223614135056,2.3113921536828372,4.013974221964842,27.959461113102844,23.79346931728884,47.02673343308819,1.134556372024573e-24,1.9260940303346514e-45,1.5067002505869033e-20,TRANSPORT_DOMINATED
oneD_v2_peak_TP_00fe0ac16669f594,Peak,00fe0ac16669f594c079e790668918f686991b1ba8237baf101ff663e16fdd93,b1081f2f109a1c56b0f90586371c2ab809a17d3ffab02f62564ac2dea381677e,"[{""log10_chi_ret"":2.3113921536828372,""log10_chi_taylor_completion"":19.23315582311592,""log10_encounter_rate_s"":-6.980437542574221,""log10_peierls_rate_s"":-7.641314698425068,""log10_peierls_velocity_m_s"":-14.804495830208127,""log10_taylor_completion_rate_s"":9.94132533756051,""retained_equilibrium_fraction"":1.1973934387188046e-17,""temperature_K"":600.0},{""log10_chi_ret"":4.013974221964842,""log10_chi_taylor_completion"":17.763617773576005,""log10_encounter_rate_s"":-5.25869717633181,""log10_peierls_rate_s"":-5.919574332182657,""log10_peierls_velocity_m_s"":-14.403354251478921,""log10_taylor_completion_rate_s"":8.490918560369472,""retained_equilibrium_fraction"":1.7798039429123565e-14,""temperature_K"":1000.0},{""log10_chi_ret"":3.9713223614135056,""log10_chi_taylor_completion"":17.73823122483543,""log10_encounter_rate_s"":-5.182941274668948,""log10_peierls_rate_s"":-5.843818430519794,""log10_peierls_velocity_m_s"":-14.311926639777038,""log10_taylor_completion_rate_s"":8.583947805936482,""retained_equilibrium_fraction"":1.710416970077057e-14,""temperature_K"":1200.0}]",-5.919574332182657,-7.641314698425068,-5.843818430519794,-14.403354251478921,-14.804495830208127,-14.311926639777038,-5.25869717633181,-6.980437542574221,-5.182941274668948,8.583947805936482,8.490918560369472,9.94132533756051,3.9713223614135056,2.3113921536828372,4.013974221964842,17.763617773576005,17.73823122483543,19.23315582311592,1.710416970077057e-14,1.1973934387188046e-17,1.7798039429123565e-14,TRANSPORT_DOMINATED
